C1, 31.72, 42.62, 180.00, 10uF, C0603
C10, 5.84, 37.54, 90.00, 0.1uF, C0402
C11, 3.61, 35.05, 180.00, 0.1uF, C0402
C12, 34.65, 26.16, 180.00, 220nF, C0402
C13, 25.78, 27.97, 0.00, 0.1uF, C0402
C14, 38.35, 28.45, 0.00, 0.1uF, C0402
C15, 21.00, 25.29, 270.00, 0.1uF, C0402
C16, 38.05, 31.19, 90.00, 10uF, C0603
C17, 23.65, 25.30, 270.00, 0.1uF, C0402
C18, 36.32, 30.99, 90.00, 0.1uF, C0402
C19, 3.89, 27.43, 180.00, 0.1uF, C0402
C2, 40.64, 35.18, 270.00, 0.1uF, C0402
C3, 7.87, 46.23, 90.00, 4.7uF, C0805
C4, 5.59, 46.23, 90.00, 4.7uF, C0805
C5, 39.83, 51.61, 90.00, 0.1uF, C0402
C6, 48.90, 43.43, 0.00, 0.1uF, C0402
C7, 48.77, 53.34, 225.00, 12.5pF , C0201
C8, 50.55, 51.56, 225.00, 12.5pF, C0201
C9, 29.97, 17.91, 0.00, 0.1uF, C0402
D1, 57.40, 21.59, 180.00, Green, WL-SMCD_0603
D2, 57.40, 25.65, 180.00, Red, WL-SMCD_0603
D3, 57.40, 17.53, 180.00, Blue, WL-SMCD_0603
D4, 57.40, 13.46, 180.00, Yellow, WL-SMCD_0603
IC1, 5.61, 53.85, 0.00, REG1117, SOT223
R1, 54.61, 21.59, 180.00, 1.6k, R0402
R10, 32.64, 28.70, 0.00, 1k, R0402
R11, 10.16, 26.42, 180.00, 1k, R0402
R12, 10.16, 27.69, 180.00, 1k, R0402
R2, 54.61, 25.65, 180.00, 330, R0402
R3, 41.40, 32.51, 270.00, 10k, R0402
R4, 45.97, 25.40, 0.00, 10k, R0402
R5, 54.61, 17.53, 180.00, 270, R0402
R6, 54.61, 13.46, 180.00, 360, R0402
R7, 30.63, 5.92, 0.00, 470, R0402
R8, 30.63, 4.42, 0.00, 470, R0402
R9, 32.64, 27.43, 0.00, 1k, R0402
U1, 40.64, 43.43, 0.00, PIC32MX170F256D, TQFP44_10X10MC
U2, 16.51, 42.93, 270.00, TPS2085_D_16, D16
U3, 13.21, 11.43, 90.00, RA-02_LORA, MODULE_RA-02_LORA
U4, 40.64, 11.18, 0.00, , FGPMMOPA6H
U5, 6.35, 34.80, 0.00, BMP388, PQFN50P200X200X80-10N
U6, 35.56, 28.19, 0.00, IIS2MDCTR, LGA12R50P4X4_200X200X70
U7, 22.10, 28.96, 0.00, ICM-20649, QFN40P300X300X95-24N
U8, 6.60, 26.92, 0.00, WSEN-HIDS_2525020210001, WSEN-HIDS_2525020210001_SIMPLE
X1, 51.43, 4.45, 180.00, , U.FL
Y1, 48.26, 51.05, 135.00, 32.768kHz, WE-XTAL_CFPX-217
